Timestamp,Portfolio Value,Daily High,Daily Low,Daily Close,Volume
2024-06-21 18:20:49,100000,545.65,543.02,544.125,26884287
2024-06-21 18:25:02,99999.78,545.65,543.02,543.94,27168794
2024-06-21 18:27:02,100000.17,545.65,543.02,544.1,27252592
2024-06-21 18:29:02,100000.52,545.65,543.02,544.195,27349430
2024-06-21 18:37:02,99998.57,545.65,543.02,543.69,28021422
2024-06-21 18:38:02,99999.69,545.65,543.02,543.91,28095931
2024-06-21 18:38:55,99999.12,545.65,543.02,543.91,28095931
2024-06-21 18:47:59,99999.57,545.65,543.02,543.9901,29109521
2024-06-21 18:51:03,100000.57,545.65,543.02,544.04,29257237
2024-06-21 18:52:02,100002.41,545.65,543.02,544.21,29315258
2024-06-21 18:53:02,100003.11,545.65,543.02,544.32,29380398
2024-06-21 18:54:02,100004.75,545.65,543.02,544.48,29425496
2024-06-21 18:55:02,100004.75,545.65,543.02,544.465,29466842
2024-06-21 18:58:02,100000.2,545.65,543.02,544.1599,29660605
2024-06-21 19:01:26,99997.95,545.65,543.02,544.02,29790419
2024-06-21 19:08:04,99998.46,545.65,543.02,544.035,30691957
2024-06-21 19:18:57,100007.18,545.65,543.02,544.55,31690544
2024-06-21 19:27:00,100007.18,545.65,543.02,544.51,32202240
2024-06-21 19:48:40,100002.41,545.65,543.02,544.29,33396245
2024-06-21 20:07:33,100008.08,545.65,543.02,544.64,35295772
2024-06-21 20:15:45,100009.93,545.65,543.02,544.5,35669665
2024-06-21 20:25:19,100009.24,545.65,543.02,544.7,36494825
2024-06-21 20:29:01,100005.88,545.65,543.02,544.46,36784711
2024-06-21 20:30:01,100004.37,545.65,543.02,544.395,37102621
2024-06-21 20:31:01,100001.87,545.65,543.02,544.33,37202800
2024-06-21 20:32:00,100004.12,545.65,543.02,544.4,37527827
2024-06-21 20:33:01,100003.83,545.65,543.02,544.41,37841561
2024-06-21 20:34:01,100006.04,545.65,543.02,544.495,37901910
2024-06-21 20:35:01,100007.26,545.65,543.02,544.535,37955766
2024-06-21 20:36:01,100009.21,545.65,543.02,544.6295,38266704
2024-06-21 20:37:01,100010.5,545.65,543.02,544.655,38329261
2024-06-21 20:38:00,100011.53,545.65,543.02,544.67,38461340
2024-06-21 20:39:01,100013.25,545.65,543.02,544.745,38531698
2024-06-21 20:40:01,100008.61,545.65,543.02,544.61,38587825
2024-06-21 20:41:00,100004.13,545.65,543.02,544.46,38912963
2024-06-21 20:42:01,100000.93,545.65,543.02,544.355,38992155
2024-06-21 20:43:35,100002.68,545.65,543.02,544.605,39105441
2024-06-21 20:47:01,99999.21,545.65,543.02,544.305,39723566
2024-06-21 20:48:00,99996.57,545.65,543.02,544.27,39860429
2024-06-21 20:49:01,99997.56,545.65,543.02,544.31,40051833
2024-06-21 20:50:01,99998.92,545.65,543.02,544.27,40229792
2024-06-21 20:51:01,99998.41,545.65,543.02,544.245,40574153
2024-06-21 20:52:00,100010.85,545.65,543.02,544.61,40781719
2024-06-21 20:53:01,100014.61,545.65,543.02,544.74,41186888
2024-06-25 14:47:01,99974.9,544.07,543.26,543.585,2873034
2024-06-25 14:51:01,99978.86,544.07,543.26,543.705,3192566
2024-06-25 14:52:01,99978.17,544.07,543.26,543.69,3237575
2024-06-25 14:53:01,99975.79,544.07,543.26,543.62,3272876
2024-06-25 14:54:01,99975.77,544.07,543.26,543.62,3331945
2024-06-25 14:55:01,99965.97,544.07,543.26,543.35,3446181
2024-06-25 14:56:01,99966.32,544.07,543.13,543.39,3535344
2024-06-25 14:58:01,99963.7,544.07,543.13,543.25,3646133
2024-06-25 14:59:01,99962.78,544.07,543.13,543.25,3947364
2024-06-25 15:01:01,99969.85,544.07,543.03,543.43,4075522
2024-06-25 15:02:01,99966.37,544.07,543.03,543.32,4388371
2024-06-25 15:04:01,99971.69,544.07,543.03,543.49,4583857
2024-06-25 15:05:01,99986.07,544.07,543.03,543.85,4724249
2024-06-25 15:06:01,99985.25,544.07,543.03,543.82,4792101
2024-06-25 15:07:01,99984.43,544.07,543.03,543.845,4861791
2024-06-25 15:08:01,99983.41,544.07,543.03,543.79,4903020
2024-06-25 15:09:01,99980.9,544.07,543.03,543.735,4985000
2024-06-25 15:10:01,99983.63,544.07,543.03,543.79,5021806
2024-06-25 15:11:01,99990.71,544.07,543.03,543.97,5062101
2024-06-25 15:12:01,99992.27,544.07,543.03,544,5126654
2024-06-25 15:13:01,99991.13,544.07,543.03,543.97,5169515
2024-06-25 15:14:01,99997.2,544.16,543.03,544.11,5237877
2024-06-25 15:15:01,99996.73,544.17,543.03,544.07,5304471
2024-06-25 15:16:01,99992.59,544.17,543.03,544.02,5365496
2024-06-25 15:17:01,99984.38,544.17,543.03,543.83,5434212
2024-06-25 15:18:01,99984.85,544.17,543.03,543.845,5503762
2024-06-25 15:19:01,99978.27,544.17,543.03,543.73,5569898
2024-06-25 15:20:01,99984.24,544.17,543.03,543.82,5641924
2024-06-25 15:22:01,99986.16,544.17,543.03,543.895,5739156
2024-06-25 15:25:01,99988.61,544.17,543.03,543.92,5847429
2024-06-25 15:27:01,99992.11,544.17,543.03,543.9703,5913050
2024-06-25 15:28:01,99991.11,544.17,543.03,543.97,5941874
2024-06-25 15:29:01,99988.5,544.17,543.03,543.9269,5965843
2024-06-25 15:30:01,99992.14,544.17,543.03,543.99,6053430
2024-06-25 15:31:01,99985.9,544.17,543.03,543.875,6139525
2024-06-25 15:32:01,99995.26,544.17,543.03,544.02,6243764
2024-06-25 15:32:49,100005.35,544.17,543.03,544.02,6243764
2024-06-25 16:40:45,99992.9,544.48,543.03,544.095,11101953
2024-06-25 17:16:21,99982.82,544.48,543.03,543.845,13674249
2024-06-25 17:39:07,99957.98,544.48,543.0199,543.36,15484123
2024-06-25 17:59:01,99924.98,544.48,542.53,542.76,17242247
2024-06-25 18:00:01,99934.88,544.48,542.53,542.9502,17288912
2024-06-25 18:01:01,99924.83,544.48,542.53,542.76,17346271
2024-06-25 18:02:01,99924.27,544.48,542.53,542.745,17374775
2024-06-25 18:03:01,99920.63,544.48,542.53,542.68,17439596
2024-06-25 18:04:01,99928.19,544.48,542.53,542.85,17488424
2024-06-25 18:05:01,99915.06,544.48,542.44,542.62,17591684
2024-06-25 18:06:01,99914.48,544.48,542.44,542.6,17666914
2024-06-25 18:08:01,99938.83,544.48,542.44,543,17801405
2024-06-25 18:09:01,99932.78,544.48,542.44,542.8975,17845463
2024-06-25 18:10:01,99942.36,544.48,542.44,543.045,17865959
2024-06-25 18:11:01,99947.86,544.48,542.44,543.17,17923752
2024-06-25 18:12:00,99950.23,544.48,542.44,543.17,17957839
2024-06-25 18:13:01,99956.33,544.48,542.44,543.2807,17996059
2024-06-25 18:15:01,99958.81,544.48,542.44,543.37,18097600
2024-06-25 18:17:01,99954.36,544.48,542.44,543.2599,18851428
2024-06-25 18:18:01,99950.59,544.48,542.44,543.2,18909078
2024-06-25 18:19:01,99954.37,544.48,542.44,543.26,19188157
2024-06-25 18:20:01,99952.48,544.48,542.44,543.23,19206108
2024-06-25 18:21:01,99955.02,544.48,542.44,543.27,19229992
2024-06-25 18:22:19,99960.21,544.48,542.44,543.39,19292097
2024-06-25 18:28:01,99970.11,544.48,542.44,543.49,19893370
2024-06-25 18:36:01,99975.79,544.48,542.44,543.58,20296230
2024-06-25 18:50:01,100001.91,544.48,542.44,543.9601,20971738
2024-06-25 18:52:25,100004.28,544.48,542.44,544.04,21094925
2024-06-25 18:56:01,100006.35,544.48,542.44,544.04,21213692
2024-06-25 18:57:01,99999.34,544.48,542.44,543.92,21243214
2024-06-25 18:58:01,100002.15,544.48,542.44,543.98,21269157
2024-06-25 18:59:01,100004.24,544.48,542.44,544,21309546
2024-06-25 19:00:01,100002.81,544.48,542.44,543.98,21331346
2024-06-25 19:01:01,100002.1,544.48,542.44,543.98,21385582
2024-06-25 19:02:01,100002.08,544.48,542.44,543.985,21434205
2024-06-25 19:03:01,99992.36,544.48,542.44,543.84,21463759
2024-06-25 19:04:01,100001.36,544.48,542.44,543.96,21762597
2024-06-25 19:05:01,100001.36,544.48,542.44,543.96,21872272
2024-06-25 19:06:01,100003.55,544.48,542.44,544.015,21910715
2024-06-25 19:08:01,99994.72,544.48,542.44,543.8877,22014304
2024-06-25 19:10:01,100017.59,544.48,542.44,544.13,22071448
2024-06-25 19:16:30,100022.09,544.48,542.44,544.21,22587947
2024-06-25 20:08:10,100042.25,544.87,542.44,544.465,26428404
2024-06-25 20:25:34,100064.96,544.87,542.44,544.8301,27594721
2024-06-25 20:29:01,100084.46,545.105,542.44,545.03,28088990
2024-06-25 20:30:01,100082.9,545.12,542.44,545.12,28151444
2024-06-25 20:31:01,100069.65,545.12,542.44,544.8701,28268671
2024-06-25 20:32:01,100057.94,545.12,542.44,544.69,28406627
2024-06-25 20:33:01,100063.4,545.12,542.44,544.8,28487057
2024-06-25 20:34:01,100061.45,545.12,542.44,544.765,28574104
2024-06-25 20:35:01,100063.4,545.12,542.44,544.795,28624778
2024-06-25 20:36:01,100059.5,545.12,542.44,544.72,28679643
2024-06-25 20:37:01,100052.47,545.12,542.44,544.65,28831419
2024-06-25 20:38:01,100057.94,545.12,542.44,544.69,28918294
2024-06-25 20:39:01,100062.62,545.12,542.44,544.76,28973715
2024-06-25 20:40:01,100057.16,545.12,542.44,544.72,29103696
2024-06-25 20:41:01,100062.62,545.12,542.44,544.78,29214000
2024-06-25 20:42:01,100051.16,545.12,542.44,544.62,29368829
2024-06-25 20:43:01,100048.19,545.12,542.44,544.595,29422648
2024-06-25 20:44:01,100040.78,545.12,542.44,544.4999,29623056
2024-06-25 20:45:01,100042.34,545.12,542.44,544.52,29678686
2024-06-25 20:46:01,100043.12,545.12,542.44,544.53,29843862
2024-06-25 20:47:01,100038.83,545.12,542.44,544.475,29941181
2024-06-25 20:48:00,100036.1,545.12,542.44,544.475,29941181
2024-06-25 20:49:01,100041.95,545.12,542.44,544.53,30220270
2024-06-25 20:50:01,100029.08,545.12,542.44,544.43,30295160
2024-06-25 20:51:01,100039.61,545.12,542.44,544.485,30485535
2024-06-25 20:52:01,100040,545.12,542.44,544.485,30650959
2024-06-25 20:53:01,100038.44,545.12,542.44,544.49,30806446
2024-06-25 20:54:01,100040.78,545.12,542.44,544.535,30927863
2024-06-25 20:55:01,100036.1,545.12,542.44,544.576,31080001
2024-06-26 15:36:58,100035.74,544.8,543.17,544.09,6537683
2024-06-26 15:39:14,100035.56,544.8,543.17,543.93,6764754
2024-06-26 15:45:18,100035.8,544.8,543.17,544.0801,7102300
2024-06-26 15:49:02,100036.31,544.8,543.17,544.24,7326785
2024-06-26 15:50:01,100036.52,544.8,543.17,544.31,7365588
2024-06-26 15:51:01,100036.88,544.8,543.17,544.42,7594755
2024-06-26 16:04:59,100035.89,544.8,543.17,544.11,8194070
2024-06-26 16:08:02,100035.35,544.8,543.17,543.95,8376854
2024-06-26 16:09:01,100035.42,544.8,543.17,543.985,8427312
2024-06-26 16:10:01,100033.87,544.8,543.17,543.685,8533072
2024-06-26 16:13:01,100032.11,544.8,543.03,543.3,8905952
2024-06-26 16:14:01,100032.05,544.8,543.03,543.27,8958845
2024-06-26 16:20:13,100037.37,544.8,543.03,543.895,9367558
2024-06-26 16:28:02,100038.49,544.8,543.03,544.19,9706863
2024-06-26 16:31:02,100036.04,544.8,543.03,543.93,9777089
2024-06-26 16:37:02,100036.12,544.8,543.03,543.9,10022748
2024-06-26 16:39:02,100036.92,544.8,543.03,544.04,10080128
2024-06-26 16:41:02,100037.47,544.8,543.03,544.07,10137548
2024-06-26 16:45:02,100039.86,544.8,543.03,544.2606,10291222
2024-06-26 16:46:01,100040.9,544.8,543.03,544.35,10338581
2024-06-26 16:50:02,100044.81,544.8,543.03,544.62,10468615
2024-06-26 16:51:01,100046.35,544.8,543.03,544.725,10558560
2024-06-26 16:52:01,100047.68,544.9,543.03,544.83,10677859
2024-06-26 16:53:01,100049.51,544.98,543.03,544.945,10720521
2024-06-26 16:55:02,100057.91,545.44,543.03,545.44,11068376
2024-06-26 16:59:02,100051.43,545.45,543.03,545.142,11559054
2024-06-26 17:01:02,100051.97,545.45,543.03,545.1,11717046
2024-06-26 19:18:43,100045.66,545.45,543.03,544.73,19908597
2024-06-26 19:30:06,100045.27,545.45,543.03,544.735,20413864
2024-06-26 19:36:01,100044.81,545.45,543.03,544.72,20573822
2024-06-26 19:36:03,100044.85,545.45,543.03,544.72,20573822
2024-06-26 19:36:03,100044.84,545.45,543.03,544.72,20573822
2024-06-26 19:38:02,100043.75,545.45,543.03,544.56,20657940
2024-06-26 19:38:02,100043.71,545.45,543.03,544.56,20657940
2024-06-26 19:38:03,100043.71,545.45,543.03,544.56,20657940
2024-06-26 19:38:03,100043.7,545.45,543.03,544.56,20657940
2024-06-26 19:38:04,100043.66,545.45,543.03,544.56,20657940
2024-06-26 19:38:04,100043.66,545.45,543.03,544.56,20657940
2024-06-26 19:38:04,100043.66,545.45,543.03,544.56,20657940
2024-06-26 19:39:01,100043.29,545.45,543.03,544.5,20708613
2024-06-26 19:39:01,100043.29,545.45,543.03,544.5,20708613
2024-06-26 19:39:02,100043.47,545.45,543.03,544.5,20708613
2024-06-26 19:39:02,100043.47,545.45,543.03,544.5,20708613
2024-06-26 19:39:02,100043.47,545.45,543.03,544.5,20708613
2024-06-26 19:39:03,100043.74,545.45,543.03,544.5,20708613
2024-06-26 19:39:03,100043.74,545.45,543.03,544.5,20708613
2024-06-26 19:40:01,100042.56,545.45,543.03,544.435,20742779
2024-06-26 19:40:01,100042.56,545.45,543.03,544.435,20742779
2024-06-26 19:40:02,100042.74,545.45,543.03,544.435,20742779
2024-06-26 19:40:02,100042.74,545.45,543.03,544.435,20742779
2024-06-26 19:40:02,100042.74,545.45,543.03,544.435,20742779
2024-06-26 19:40:03,100042.83,545.45,543.03,544.435,20742779
2024-06-26 19:40:03,100042.83,545.45,543.03,544.435,20742779
2024-06-26 19:41:01,100042.55,545.45,543.03,544.465,20785930
2024-06-26 19:41:02,100042.09,545.45,543.03,544.465,20785930
2024-06-26 19:41:02,100042.13,545.45,543.03,544.465,20785930
2024-06-26 19:42:01,100042.45,545.45,543.03,544.445,20829603
2024-06-26 19:42:02,100042.36,545.45,543.03,544.445,20829603
2024-06-26 19:42:03,100042.27,545.45,543.03,544.445,20829603
2024-06-26 19:42:03,100042.26,545.45,543.03,544.445,20829603
2024-06-26 19:43:01,100041.98,545.45,543.03,544.374,20881616
2024-06-26 19:43:02,100041.98,545.45,543.03,544.374,20881616
2024-06-26 19:44:01,100043,545.45,543.03,544.49,20940772
2024-06-26 19:44:01,100043,545.45,543.03,544.49,20940772
2024-06-26 19:44:02,100043.14,545.45,543.03,544.49,20940772
